,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISBSG dataÿ       Release               February 2015,6760 rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rating,Rating,Software Age,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Sizing,Sizing,Sizing,Sizing,Effort,Effort,Effort,Productivity,Productivity,Productivity,Other Metrics,Other Metrics,Other Metrics,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Quality Delivered,Quality Delivered,Quality Delivered,Quality Delivered,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Architecture,Architecture,Architecture,Architecture,Architecture,Architecture,Architecture,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,Project Attributes,Project Attributes,Project Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Other Size,Other Size,Other Size
20846,B,,2005,,,,,Enhancement,PC,4GL,DELPHI,LOC,,,,,34680,39300,39300,,,,,,,19.1,,11-Jul-2005,,2160,1080,1080,30000,180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delphi 7;VC+;,Windows 95-2k;,,,Oracle;SQL Server 2000;,,,,% of 1st language 65% - % of 2nd language 30%;,,,,,,,,,,,,,,,,,,,Recorded hours on each project/day/week,4,9-14,11,,,,,,,,,,,,,,,,"3,272,000",,
20850,B,B,2013,Communication,Telecommunications;,Business Application,Integration;,Enhancement,,3GL,TIBCO,IFPUG 4+,94,S,94,,309,309,309,3.3,3.3,3.3,,8.1,,11.6,,09-Sep-2013,,,,,,,,309,,,,,,,,,,,,,,,,,,,,,Waterfall (incl Linear Processing & SSADM);,Business Area Modelling;Data Modelling;Object Oriented;Prototyping;,,,,,,Yes,,,,,,,,,,,,,IFPUG 4.3,IFPUG 4.3.1;,,,TIBCO Business EventsTIBCO Integration Manager;,,,,,,,,,,,,,,,,,,,,,,,,Outsourced;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20851,C,A,1999,,,Business Application,Transaction/Production System;,Enhancement,MF,3GL,COBOL,IFPUG 4+,47,S,51,1.09,1958,1958,1586,41.7,41.7,31.1,,7.1,,6.6,0.00,30-Aug-1999,,59,,,667,799,61,0,,,,,,,,,,,,No,,Stand alone,No,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.0,IFPUG 4.0;,,Mainframe;,COBOL II;,MVS;,,,DB2;IMS(DC);,,,,,,,,,,,,,No,Yes,Developed In-house;,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20852,B,A,2002,,,,,New Development,,,,IFPUG 4+,406,M2,406,1.00,964,964,800,2.4,2.4,2.0,,,,,,,Specification;Build;Test;,,76,,118,606,,0,,,,,,,,,,,,Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wholly manual;,CPM4.0;Addendum to existing standards;,CPM4.0;Addendum to existing standards;,Don't Know;,,,,,,,,,,,,,,,,,,,Don't Know,Don't Know,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20860,A,A,1993,Manufacturing,Manufacturing;,,,Enhancement,MF,3GL,PL/I,IFPUG old,40,S,33,0.82,141,145,145,3.5,3.6,4.4,,20.0,3.3,2.0,,Jul-1993,,11,18,,97,5,10,0,,,,,Manufacturing;,,,,,,,No,,Stand alone,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 3,IFPUG 3;,,IBM 3090;,PL/I;,MVS;,,,IMS/DB2;,,,,,,,,,,,,,,,,,,,,,,,'Productive' time only (recorded),2,5-8,6,,,All effort included on study,8,7,0,10,15,32,8,0,,,,,,,
20862,B,,2006,Communication,Communications;,Mathematically-Intensive Application,"Image, video or sound processing;",Re-development,PC,3GL,C++,LOC,,,,,2937,2937,2937,,,,,,,5.4,,,Planning;Specification;Design;Build;Test;,230,320,393,1305,584,,105,,,,,"Communications;Financial (Banking, Insurance, Stock);",,,,,,,,,,No,,,,Stand-alone;,,,,,,,,,,,,,,,,,,,,,,,,,,C++;,Windows;,C++Builder;,,,,,,,,,,,,,,,Yes,Yes,Developed In-house;,,20,10,105,"Customer & users 1 org, team in another;Customer, users, team in different orgs;",,,Staff hours (recorded),1,3-4,4,2.6,,,,,,,,,,,,,,,"18,236",0% of recorded;,
20864,B,B,2005,Insurance,Insurance;,,,Enhancement,MF,3GL,PL/I,FiSMA,40,S,,,547,547,547,13.7,13.7,13.7,,,,3.1,0.07,15-Apr-2005,Planning;Specification;Design;Build;Test;Implement;,,26,146,336,4,36,-1,,,,,,,,,,,,,,,,,,,,,Waterfall (includes Linear Processing);,,,,,,,,,,Effort estimates;,,Stuctural methods;,,Functional sizing;Test planning;Walkthroughs;,,,,,Automated by a tool;,FiSMA,FiSMA;,,Mainframe;,PL/I;,,,,,,,,,,,,,,,,,,Yes,,,,>50,,In-house for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20875,B,A,2002,Professional Services,Sales & Marketing;,Business Application,Trading;,Enhancement,MF,4GL,ASP,IFPUG 4+,226,M1,242,1.07,889,889,889,3.9,3.9,3.7,,,,,,Sep-2002,,,,,,,,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.1,IFPUG 4.1;,,UNIX;,ASP;VB;SQL;Shell Script;HTML;,UNIX;,,,SQL Server 2000;,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20876,B,A,2002,,,,,New Development,,,,IFPUG 4+,2027,L,2027,1.00,28160,28160,28160,13.9,13.9,13.9,,101.4,,20.0,0.00,,,,,,,,,28160,,,,,,,,,,,,Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wholly manual;,CPM4.0;Addendum to existing standards;,CPM4.0;Addendum to existing standards;,Don't Know;,,,,,,,,,,,,,,,,,,,Don't Know,Don't Know,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20877,A,A,1999,Government,Public Administration;Community Services;Insurance;,Business Application,Electronic Data Interchange;,New Development,MF,3GL,COBOL,IFPUG 4+,160,M1,171,1.07,4742,5269,4742,29.6,32.9,27.7,6.3,17.8,1.4,9.0,,Oct-1999,Specification;Build;Test;Implement;,,,,,865,,3877,,1,,1,Insurance;,,,,,,,,,Client server,Yes,,,LAN Based;,Presentation & Logic on server;,,Joint Application Development (JAD);Rapid Application Development (RAD);,Data Modelling;Process Modelling;,Yes,,,,,,,,,,,,,,,,,Manual supported by a tool;,IFPUG 4.1,IFPUG 4.1;,Combined all tables into a single file;,IBM 390;,DELTA;COBOL;,MVS;,,PC debuggers;Viasoft Debugging;,DB2;,,,,,,,,,,,,,Yes,Yes,Developed In-house;,1,7,,,In-house for external business unit;,,,'Productive' time only (recorded),1,9-14,13,6,70%,Missing 30% For support and Business Users,,,,,,,,,,,,,,,
20882,B,C,2004,Financial,"Financial, Property & Business Services;",Business Application,Financial transaction process/accounting;Data Warehouse;,Enhancement,,4GL,,IFPUG 4+,,XS,20,,225,225,225,,,11.3,,,,4.9,0.30,01-Jul-2004,,,,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,Code data not counted;,,4GL;,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20883,A,A,1995,Banking,Banking;,Business Application,Personal system;,Enhancement,MF,4GL,NATURAL,IFPUG old,65,S,64,0.98,,140,140,,2.2,2.2,0.0,21.7,21.7,3.0,1.0,Mar-1995,,,,,,,,,0,0,0,0,Banking;,,,,,,,No,,Stand alone,No,,,,,,,,,,,,,,,,,,,,,,,,,Wholly manual;,IFPUG 3,IFPUG 3;,Counted each table as a logical file;,IBM;,NATURAL;,MVS/ESA;,,No,ADABAS;,,,,,,,,,,,,,,No,,1,1,,5,In-house for internal business unit;,,,Staff hours (derived),2,1,1,,,,20,28,10,7,0,65,0,0,,,,,,,
20886,A,A,2004,Insurance,Insurance;,Business Application,Financial transaction process/accounting;,Enhancement,Multi,4GL,Oracle,NESMA,187,M1,187,,2683,2683,2227,14.3,14.3,11.9,,34.0,11.3,5.5,0.00,28-Nov-2004,Planning;Specification;Design;Build;Test;,,,,,,,2227,,,,,,,,,,,,,,Client server,Yes,Run a computer-human interface;Business logic or rule processing;Data entry & validation;Data retrieval & presentation;,Database server;File &/or print server;FTP server;Multi-user legacy application;,,,,,,,,,,,,Project Schedule;Resource Plan;Software Development Plan;,Requirements Specification;Functional Specification;Logical Data/ER Model;External/System Interface Specifications;,Specification Review;,Component Designs;Database/Data File Design;,Structured Design;Design Review/Inspection;,Source Code/Objects;Database Objects;Graphics Items/Images;,Unit Testing;Code Review/Inspection;Software Integration;System Integration;,Test Plans/Designs;Test Data;Incident/Defect Lists;,,,,Manual supported by a tool;,NESMA 2.2,NESMA 2.2;,,,Oracle;,UNIX;Microsoft;,,No,Oracle;,No,No,No,,,,,,,,,,Yes,Yes,Combined Developed/Purchased;,,1,20,20,"Customer, users & team in same org;",,,Recorded hours on each project/day/week,1,3-4,3,2,90%,,36,70,4,70,7,38,149,0,,,,,,,
20887,B,B,2011,Medical & Health Care,Medical and Health Care;,,not recorded;,Enhancement,,,,IFPUG 4+,34,S,34,,1407,1407,1196,41.4,41.4,35.2,,2.6,0.1,13.0,,13-Oct-2011,Specification;Design;Build;Test;Proj Management;,0,49,199,376,527,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,15-20,18,,,,,,,,,,,,,,,,,,
20888,B,B,2011,Manufacturing,Manufacturing;,Business Application,suppliers management;,Enhancement,MR,3GL,Java,IFPUG 4+,266,M1,266,,,1250,1150,,4.7,4.3,0.0,44.3,,6.0,,01-Apr-2011,Specification;Design;Build;Test;Implement;,,,,,,,,,,,0,Purchasing & Supplier Relationship;,,,,,,,No,,Client server,Yes,,,Client server;,,,,,,,,,,,Budget;Project Schedule;Proposal/Tender;,Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;,,,,Source Code/Objects;Database Objects;,Unit Testing;Software Integration;,Test Plans/Designs;Incident/Defect Lists;Test Data;,,,,Wholly manual;,Addendum to existing standards,IFPUG 4.1;Addendum to existing standards;,,,JEE;,Unix;,,,Oracle;,,,,,,,,,,,,,Yes,Yes,Developed In-house;,,,,,In House;Medium relationship;,,,Staff hours (recorded),,,,,,,,,,,,,,,,,,,,,
20892,A,A,2007,Government,Government;,Business Application,Management of Licences and Permits;,Enhancement,MF,ApG,COOL:Gen,IFPUG 4+,221,M1,265,1.20,3191,3191,2202,14.4,14.4,8.3,0.0,14.7,,15.0,,May-2007,,0,0,0,824,393,985,0,0,0,0,0,,,,,,,,,,Stand alone,,,,,,,,,,,,,,,Yes - inhouse;,Yes - inhouse;,,Yes - inhouse;,,Yes - inhouse;,,Yes - inhouse;,,Yes - inhouse;,,,IFPUG 4.2,IFPUG 4.2;,,,COOL:Gen;,,,,,,,,,,,,,,,,,,Yes,,,,,,,MF   (Mainframe),,Staff hours (recorded),1,,,,,,142,36,36,7,0,18,203,0,,,,,,,
20894,B,C,2006,,,Business Application,Financial transaction process/accounting;,Enhancement,Multi,4GL,.Net,IFPUG 4+,,S,54,,561,561,561,,,10.4,,,,3.1,,2006,,,,,,,,561,,,,,,,,,,,,,,,,,,,,Web,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,Count does not include points for code tables;,,.Net;,,,,Interactive;,,,,Web e-bus;,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20896,A,,2002,Financial,"Financial, Property & Business Services;Insurance;",Business Application,Document management;,New Development,PC,4GL,ASP,COSMIC,762,M2,,,4977,5018,5018,6.5,6.6,6.6,,42.3,42.3,18.0,,01-Nov-2002,,1607,542,186,1602,809,231,0,,,,,,,,,,,,,,Client server,Yes,Run a computer-human interface;Web/HTML browser;,Database server;HTML/web server;Security/authentication;,,,Web,,,,,,,,,Project Schedule;Software Development Plan;Vision/Objectives;,Requirements Specification;Functional Specification;User Manual;,Specification Review;,System Architecture Spec;Technical Specification;Database/Data File Design;Module/Unit/Class Designs;,Structured Design;,Source Code/Objects;Database Objects;Unit Test Plans/Designs;Integration Scripts/Checklist;,Unit Testing;Software Integration;,Test Plans/Designs;Test Scripts/Harnesses;Incident/Defect Lists;,"Performance, Stress or Load Testing;",Installation Procedures;Release Description/Notes;End user Manual or Help;End user Training Material;,Prepare for Delivery/Installation;Provide User Training;Provide User Support;,Wholly manual;,COSMIC 2.2,COSMIC 2.2;,,,ASP;,NT;,,Interdev;,SQL Server;,No,IIS;,No,,,VB;,,No,No,No,No,,No,Yes,Developed In-house;,,450,450,800,"Customer, users & team in same org;",,,Recorded hours on each project/day/week,4,1,1,1,,,,,,,,,,,,,,,,,
20900,B,A,2003,Communication,Communications;,Business Application,Tools or system;,Enhancement,PC,3GL,Java,IFPUG 4+,98,S,98,,184,184,184,1.9,1.9,1.9,,98.0,,1.0,0.00,25-Jan-2003,Planning;Specification;Build;Test;Implement;,,,,,,,184,,,,,Don't Know;,,,,,,,No,,,,,,,Web;,Web,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,PC;,Java;,Windows 2000;,,,Solid;,,,,,,,,,,,,,No,Don't Know,,,,,,,,,Staff hours (recorded),1,,,,,Unable to estimate,63,0,0,35,0,0,98,0,,,,,,,
20902,B,B,2010,Manufacturing,Manufacturing;,Business Application,Parts selling;,Enhancement,MR,3GL,COBOL,IFPUG 4+,200,M1,200,,,2422,2228,,12.1,11.1,0.0,32.3,,6.2,,22-Sep-2010,Specification;Design;Build;Test;Implement;,,,,,,,,,,,0,Outbound Logistics;,,,,,,,No,,Stand alone,No,,,Mainframe;,,,,,,,,,,,Budget;Project Schedule;Proposal/Tender;,Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;,,,,Source Code/Objects;Database Objects;,Unit Testing;Software Integration;,Test Plans/Designs;Incident/Defect Lists;Test Data;,,,,Wholly manual;,Addendum to existing standards,IFPUG 4.1;Addendum to existing standards;,,,COBOL;,AS400;,,,DB2;,,,,,,,,,,,,,,Yes,Developed In-house;,,,,,Purchased;,,,Staff hours (recorded),3,,,,,,,,,,,,,,,,,,,,
20905,B,A,2002,Insurance,Insurance;,Business Application,Financial transaction process/accounting;,Enhancement,MF,3GL,COBOL,IFPUG 4+,3622,XL,3622,,14573,14573,14573,4.0,4.0,4.0,,724.4,,5.0,0.00,31-Oct-2002,Planning;Specification;Build;Test;Implement;,,,,,,,14573,,,,,Don't Know;,,,,,,,No,,,Don't Know,,,,,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,MF;,COBOL;,MVS;,,,IMS;,,,,,,,,,,,,,No,Yes,Developed In-house;,,,,,,,,Staff hours (recorded),1,,,,100%,Unable to estimate,548,704,1306,664,400,0,3622,0,,,,,,,
20906,B,,2005,Service Industry,Traffic (Aerospace/Railway/Automotive);Transport;,Mathematically-Intensive Application,Geographic or spatial information system;,Enhancement,PC,3GL,C++,LOC,,,,,3690,3690,3690,,,,,,,2.4,,,Planning;Specification;Design;Build;Test;Implement;,51,748,748,935,1088,120,0,,,,0,"Traffic (Aerospace/Railway/Automotive),Transport;",,,,,,,,,Stand-alone,No,,,,Stand-alone;,,Waterfall (includes Linear Processing);,,,,,,,,,,Specification Review;,,Unified Modelling Language (UML);,,,,,,,,,,,,C++;,Windows 2000;,VC6.0;,,Oracle;,,,,,,,,,,,,,,Yes,Developed In-house;,,,,,"Customer & users 1 org, team in another;",,,Staff hours (recorded),1,9-14,9,8,,,,,,,,,,,,,,,"16,200",,
20911,B,B,2000,Communication,Communications;,Business Application,Management Information System;,Enhancement,MF,3GL,C,NESMA,171,M1,171,,4209,6577,4209,24.6,38.5,24.6,5.8,21.4,,8.0,,Aug-2000,Build;Test;,,,,,,,4209,1,,,1,Marketing;,,,,,,,No,,Client server,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Manual;,NESMA,NESMA;,Combined all tables into a single file;,Client/server;,C;AWK 5%;SQL 23%;,UNIX HP-UX;,,,SQL;,,,,,,,,,,,,,,,,,,,,In-house for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,"11,967",Less than 5% of recorded;,
20912,B,C,2006,,,Business Application,Financial transaction process/accounting;,Enhancement,Multi,3GL,Java,IFPUG 4+,,XS,10,,16,16,16,,,1.6,,,,0.30,,2006,,,,,,,,16,,,,0,,,,,,,,,,,,,,,,Web,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,Count does not include points for code tables;,,Java / similar;,,,,Interactive;,,,,Web e-bus;,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20917,B,C,2003,Financial,"Financial, Property & Business Services;",Business Application,Financial transaction process/accounting;Data Warehouse;,Enhancement,,4GL,,IFPUG 4+,,M1,111,,903,903,903,,,8.1,,,,4.8,0.00,10-Oct-2003,,,,,,,,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,Code data not counted;,,4GL;,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20918,B,B,2013,Medical & Health Care,Medical and Health Care;,,not recorded;,Enhancement,,,,IFPUG 4+,82,S,82,,6188,6188,6188,75.5,75.5,75.5,,5.9,0.2,14.0,,30-Apr-2013,Planning;Specification;Design;Build;Test;Implement;,145,415,1075,1380,1994,205,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,21-30,24,,,,,,,,,,,,,,,,,,
20921,B,B,2006,Insurance,Insurance;,,,Enhancement,MF,3GL,PL/I,FiSMA,26,XS,,,179,179,179,6.9,6.9,6.9,,,,2.0,0.03,15-Apr-2006,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,Waterfall (includes Linear Processing);,Reviews;Test planning;Functional sizing;Effort estimates;System testing;,,,,,,,,,,,,,,,,,,Automated by a tool;,FiSMA,FiSMA;,,Mainframe;,PL/I;,,,,,,,,,,,,,,,,,,Yes,,,,>50,,In-house for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20926,B,A,1995,Banking,Banking;,Business Application,Management Information System;,Enhancement,MF,3GL,COBOL,IFPUG 4+,329,M2,352,1.07,9163,10356,8492,27.9,31.5,24.1,,13.7,0.9,24.0,,Jan-1995,Specification;Build;Test;,,3297,,3327,981,,0,,,,,Banking;,,,,,,,No,,Stand alone,No,,,,,,,Data Modelling;Regression Testing;,,,,,,,,,,,,,,,,,,Wholly manual;,IFPUG/Hans Vonk,,Combined all tables into a single file;,IBM;,COBOL;,MVS;,,No,Yes,,,,,,,,,,,,,Yes,Yes,Purchased;,4,3,,10,In-house for internal business unit;,,,Staff hours (recorded),2,15-20,15,,,,185,58,23,43,20,329,0,0,,,,,,,
20927,B,B,2003,Communication,Communications;,Business Application,Business;Network Management;,Enhancement,PC,4GL,Access,NESMA,346,M2,346,,954,1491,954,2.8,4.3,2.8,,69.2,,5.0,,,Design;Build;Test;,,,,,,,954,,,,,,,,,,,,,,Client server,Yes,,,,,,,,,,,,,,Budget;Project Schedule;Resource Plan;,Logical Data/ER Model;Functional Specification;,,Database/Data File Design;Detailed Design Documents;Software Interface Designs;,,Source Code/Objects;Unit Test Plans/Designs;Database Objects;,,Test Plans/Designs;Test Data;Incident/Defect Lists;,,Installation Procedures;Release Description/Notes;Incident/Defect Lists;Operation/Admin. Manual;Data Establishment Process;,,Manual detailed;,NESMA 2.0,NESMA 2.0;,,Client/server;,Access;,Windows NT;,,,MS Access;,,,,,,,,,,,,,,Yes,Developed In-house;,,,,,,,,Recorded hours on each project/day/week,1,,,,,,,,,,,,,,,,,,"6,773",LOC Count Method Automated Counter;,
20929,B,A,2004,,,,,Enhancement,,4GL,Oracle,IFPUG 4+,120,M1,134,1.12,912,912,912,7.6,7.6,6.8,,60.0,,2.0,0.00,,,,,,,,,912,,,,,,,,,,,,,,Client server,Yes,,,,C/S;,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,Oracle;,,,,,,,,C/S;,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20933,B,C,2006,Communication,Communications;,Real-Time Application,Embedded system/real-time application;,Enhancement,,4GL,,IFPUG 4+,,M1,246,,5324,5324,5324,,,21.6,,,,,,2006,,,,,,,,5324,,,,,,,,,,,,,,,,,,,,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,Count does not include points for code tables;,,5GL;,,,,Interactive;,,,,Web;,,,,,,,,,,Yes,,,,,,,DE   (Mobile or Device Embedded),,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20934,A,B,1998,Insurance,Insurance;,,,Enhancement,MF,3GL,COBOL,IFPUG 4+,254,M1,277,,,1265,1265,,5.0,4.6,,13.4,,19.0,,May-1998,Planning;Specification;Build;Test;Implement;,,,,,,,,,,,,Insurance;,,,,,,,No,,Client server,Yes,,,Mainframe;,Client: presentation; Server: processing;,,,,,,,,,,,,,,,,,,,,,Wholly manual;Manual supported by a tool;,IFPUG 4,IFPUG 4;,Counted as Inputs;,IBM PC;IBM MAINFRAME;,COBOL II;C++;Visual Basic;,Windows 98;MVS ESA;,,Don't Know,DB2;,,,,,,,,,,,,,Don't Know,Yes,Developed In-house;,,,,,In-house for internal business unit;,,,Staff hours (recorded),2,,,,99%,,48,110,47,49,0,84,170,0,,,,,,,
20936,B,B,2013,Communication,Telecommunications;,Business Application,Enterprise Management;,Enhancement,Multi,3GL,Java,IFPUG 4+,110,M1,110,,196,196,196,1.8,1.8,1.8,,25.0,,4.4,,09-Sep-2013,,,,,,,,196,,,,,,,,,,,,,,Multi-tier,,,,,,,Waterfall (incl Linear Processing & SSADM);,Business Area Modelling;Data Modelling;Object Oriented;Prototyping;,,,,,,Yes,,,,,,,,,,,,,IFPUG 4.3,IFPUG 4.3.1;,,,Java;,,,,,,,,,,,,,,,,,,,,,,,,Outsourced;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20942,B,B,2004,,,,,Enhancement,MF,3GL,COBOL,IFPUG 4+,32,S,32,,836,836,836,26.1,26.1,26.1,,7.8,,4.1,,15-May-2004,From Feasibility to Implementation;,,,,,,,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.0,IFPUG 4.0;,,Mainframe;,COBOL;,,,,,,,,,,,,,,,,,,,,,,,,,,,Recorded hours on each project/day/week,1,,,,,,,,,,,,,,,,,,,,
20943,B,A,1999,Insurance,Insurance;,Business Application,Financial transaction process/accounting;,New Development,MF,3GL,COBOL,IFPUG 4+,366,M2,366,,19047,19047,10666,52.0,52.0,29.1,,52.3,,7.0,0.00,30-Sep-1999,Planning;Build;,,,,,,,10666,,,,,Don't Know;,,,,,,,No,,,Don't Know,,,,,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,MF;,COBOL II;,MVS;,,,IMS;,,,,,,,,,,,,,No,Don't Know,,,,,,,,,Staff hours (derived),1,,,,100%,under 5%,35,42,83,107,99,366,,,,,,,,,
20945,B,A,2004,,,Mathematically-Intensive Application,Network Switch Provisioning;,Enhancement,,3GL,C,IFPUG 4+,81,S,101,1.25,4219,4219,4219,52.1,52.1,41.8,,,,,,,,,,,,,,4219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,C;UNIX Shell Scripts;,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20948,B,B,2014,Communication,Telecommunications;,Business Application,Stock control & order processing;,Enhancement,Multi,3GL,Java,IFPUG 4+,65,S,65,,114,114,114,1.8,1.8,1.8,,19.1,,3.4,,14-Mar-2014,,,,,,,,114,,,,,,,,,,,,,,Multi-tier,,,,,,,Waterfall (incl Linear Processing & SSADM);,Business Area Modelling;Data Modelling;Object Oriented;Prototyping;,,,,,,Yes,,,,,,,,,,,,,IFPUG 4.3,IFPUG 4.3.1;,,,Java;,,,,,,,,,,,,,,,,,,,,,,,,Outsourced;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
20953,B,B,2013,Medical & Health Care,Medical and Health Care;,,not recorded;,Enhancement,,,,IFPUG 4+,4,XXS,4,,2621,2621,2333,655.3,655.3,583.3,,0.2,0.0,19.0,,12-Apr-2013,Planning;Design;Build;Test;Implement;Proj Management;,87,0,299,843,636,85,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,31-40,35,,,,,,,,,,,,,,,,,,
20957,B,B,2004,,,Business Application,Financial application area;,Enhancement,Multi,4GL,,IFPUG 4+,188,M1,188,,1786,1786,1786,9.5,9.5,9.5,,26.1,,7.2,,,,,,,,,,1786,,,,,,,,,,,,,,Multi-tier / Client server,Yes,,,,Client Server;,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,Client/server;,4GL;,,,,Interactive;,,,,Average Complexity;,,,,,,,,,,Yes,Traditional;,,,,,,,,Staff hours (derived),1,,,,,,,,,,,,,,,,,,,,
